akkadian,english
hu-bu-ul ú-ṣú-ur-ša-a-šur dumu a-šur-ma-lik,concerning the fact that uṣur-ša-aššur and aššur-ṭāb owe 4 minas of refined silver to šalim-aššur.
ù a-šur-du₁₀ dumu sá-da-a,reckoned from the week of mannu-kī-aššur and ikūnum they must pay within 6 weeks.
ma-li-a-am ma-nu-kà-bi₄-a na-áš-a-ku-nu-tí a-hu ú-a a-tù-nu i-na ša-am-ší im-ma ma-nu-kà-bi₄-a e-ra-ba-ni pí-ri-kà-ni ša-ma-nim-ma,"please, my brothers, buy on the very day mannu-kī-abiya arrives in town -textiles and send them to me with the first opportunity."
iš-tí pá-nim-ma šé-bi-lá-nim a-na šu-a-šur qí-bi-ma ší-im kù.gi me-eh-ra-tim i-dí-ma,say to šu-anum: 'make the equivalent of the yield of the gold available by buying -textiles for me'.
pí-ri-kà-ni ša-ma-nim a-ta i-na ší-im kù.gi,you yourself must take your silver from the yield of the gold.
kù.babbar-áp-kà le-qé gi₄-mì-lam i-ṣé-ri-a šu-ku-un ù,do me this favor and (know that) i too can do you a favor!
a-na-ku ga-ma-al-kà a-le-e šu-ma am-tum <gap>-e-ma té-ri-iš-kà dí-ši-ma ù té-er-ta-kà li-li-kà-ma kù.babbar lu-šé-bi₄-lá-kum,"if the maid asks <gap> from you, give it her and let a report from you come here then i will send you the silver (for it)."""""
lá-qé-ep dumu šu-a-šur i-da-an gán-lam₅ a-na-nu-um ù a-lá-nu-um iš-tí tí-ir-tí-šu-ma ša lá-qé-ep a-šu-mì dam.gàr,from here and from there (the shipment) goes overland in the name of the merchant together with lā-qēp's own orders.
e-ti-iq igi du₁₀-a-hi dumu ir-bi-{d}im igi lá-qé-ep dumu puzur₄-ša-du-e igi en-um-a-šùr dumu ša-lim-a-šur,"witnessed by ṭāb-ahi son of irbi-adad, by lā-qēp son of puzur-šadue, by ennam-aššur son of šalim-aššur."
<gap> pí-ri-kà-ni ša a-na-na 1 lu-bu-ša-am 1 túg ra-qá-tám a-na a-bu-ša-lim dumu,"<gap> belonging to anna-anna, 1 dress (and) 1 thin textile i gave to abu-šalim son of ṣill-adad."
ṣí-lá-{d}im a-dí-in igi ma-nu-ki-a-šur igi ku-zi-zi-a,"witnessed by mannum-kī-aššur, by kuziziya."
šé-bi₄-lá-ma a-na ku-ša-ra lá-áš-qúl ṣí-i,the interest must not increase.
ta-ma-lá-ki-im kà-bu-tim ṣa-ah-ri-im ša-ak-nu,"in all six tablets, placed in the"
kišib a-ta-ta dumu ša-lim-a-šur kišib lá-qé-ep dumu a-šur-i-dí kišib en-um-a-šur wa-ar-dum ša hu-ra-ṣa-nim,"seal of atata son of šalim-aššur, seal of lā-qēp son of aššur-idī, seal of ennam-aššur, huraṣānum's slave."
5 gín kù.babbar i-ṣé-er en-um-a-šur,ennam-aššur owes 5 shekels of silver to luzi.
lu-zi-i šu 1 túg ku-ta-nam ša 5 gín kù.babbar en-um-a-šur,ennam-aššur must bring up one -textile worth 5 shekels of silver within one year.
i-na ša-na-at ú-šé-lá-am šu-ma a-dí ša-na-at ku-ta-na-am lá uš-té-li-am,"if he has not brought up a within a year, he must pay 10 shekels of silver here."
i-ša-qal itu.kam té-i-na-tim li-mu-um e-lá-lí sà-an-gu₅-um,"month te'inātum, eponymy elālī, the high priest."
ù-lá i-tù-ru šu-ma i-tù-ru lá-am-nu-ut a-na a-šùr ru-ba-im ù gal,"if they raise claim, it is an evil against anna, aššur, the king and the rabi sikkitim."
a-ha-ma li-bi-ší a-dí ha-ra-ni,do not alienate me when i arrive.
šu-ut-ma ú-lá ú-ša-ar-kà i-na ri-em lu-qú-tim ki-ma ú-nu-tim lá ta-ú-ri-im a-na-ku ú da-dí-a a-na 4 ma-na kù.babbar qá-ta-tí-šu ni-il₅-ta-pá-at,"out of consideration for the merchandise, in order not let the goods be brought back, we, i and dadiya, had ourselves booked as his guarantors for the 4 minas of silver."
a-na a-wi-li lu-šé-bi-il₅-ma a-na a-šùr-i-dí li-iš-qú-lu ša ki-ma i-a-tí ṭup-pá-am,"pay the silver then i will send it to the gentlemen, so that they can pay it to aššur-idī."
iš-puru-nim <gap> šu-ma e-ta-ba-at šu-up-ra-ma a-na-kam é-bé-sú a-na ší-mì-im lu ni-dí-in,"my representatives "" if he has fled, write to us, then we will sell his house here."""
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ni-dí-in,the kanesh colony gave us for these proceedings and we have our testimony.
i <gap> ta ha-bi-a-nim <gap> ì-lí-áš-ra-ni <gap> dumu <gap> bi a <gap> ṣú-ba-tí-kà ú ni tim <gap> a-šùr-i-mì-tí <gap> ni ša šu,"also, concerning the matter of aššur-imittī, in the city <gap> happiānum <gap> ilī-ašrannī <gap> the son <gap> of your textiles <gap> aššur-imittī <gap>"
i-na ha-ar-pì-im <gap> i-ša a-na kù.babbar i-ša-qú-lu,"in summer they will <gap>, at anna's festival they will pay the silver."
kù.babbar i-na áb-nim ni-a-tim ta-ki-tám i-ša-qú-lu,"they will weigh it out by our weight, in the correct amount."
ša-lim-a-šùr ù šu-be-lúm iṣ-bu-tù-ni-a-tí-ma um-ma šu-be-lúm-ma a-na ša-lim-a-šùr-ma a-bi a-ta a-na é a-bi-a a-na mì-ma a-na a-wa-tí-kà ga-ma-ri-im a-li-kam,"šalim-aššur and šu-bēlum seized us and šu-bēlum said to šalim-aššur: you are my father, i have come to conclude your case about everything relating to my paternal house."
igi en-na-nim igi a-gi-a <gap> {d}im.gal dumu bu-zi tap-,"witnessed by ennānum, by agiya; adad-rabi son of buzi was our (absent) partner."
a-na ku-li-a qí-bi-ma um-ma a-sà-num-ma a-na-kam i-qá-qá-ar ší-a-ma-tim wa-áš-ba-ku,"to kuliya, thus asānum: i am staying here in an area of purchases and there is much for sale!"
ú ší-mu-um ma-ad ší-ma-am ša ta-šé-e-ú i li-bi-kà ša,"purchases at which you are striving, which will secure you and us a profit, i can realize here."
ba-lá-ṭí-kà ú ba-lá-ṭí-ni a-na-kam-ma ú-šé-lá šál-ma-ku mì-ma i li-bi₄-kà lá,"i am well, there is not reason to worry. <gap> purchase goods that they are in the countryside of hattum."
ta-na-hi-id ší-ma-am šu-ra-am ša i-dí-ú i li-bi-i ma-tí-im ša,"send me silver then i will make purchases and since kukū is about to arrive, let him bring them in."
i-ha-du-ú e-pu-uš kù.babbar ú-lá tù-šé-bi-lam ší-ma-am ša ú-šé-ra-ba-ni ta-ma-ar li-ba-kà,"my father, my lord, as for the silver that enannātumhave me, the day i left that i did not that silver."
e im-ra-aṣ a-bi-i a-ta be-lí a-ta,send me silver and let him be the messanger coming with that silver.
kù.babbar ša e-na-na-tum i-dí-na-ni i-na {d}utu-ši,do not fail to send silver lest both you and i will regret it!
li-ba-kà ú li-bi-i e im-ra-aṣ ha-nu-ba a-na-kam ú-ta-za-am um-ma šu-ut-ma a-dí-i na-áš-pè-er-tám,"please, see to it, gentleman as you are, that a favorable letter of yours reaches šu-suen, hanuba, puzur-lama, me, and your caravan."
a-na a-lim{ki} ša-ak-šu-dam lá qá-bi né-ru-ub-ma me-eh-re ša ba-áb dingir ša ší-bu-tí-šu ša a-na pì-lá-ah-a-šùr i-dí-nu,"we entered and listened to (the text of) the copies of his testimony drawn up in the gate of the god, that he had given to pilah-aššur (and they read): 'lā-qēp was my companion'."
ni-iš-me lá-qí-ip tap-pá-i a-ma me-eh-ri ší-me,"here is my copy, listen to it; it is up to you there (what to do)'."
a-ma-kam ma-lá-kà a-na-kam ib-ni-lí dumu a-šùr-{d}utu-ši wa-ar-kà-sú nu-ša-il₅-ma ù e-ba-ru-uš-šu ku-ni-lúm ù i-dí-ištar nu-ša-il₅-ma eṭ-lu-um ke-en₆ ú wa-ar-kà-tám,"here we questioned ibni-ilī, son of aššur-šamšī, about his record and we also questioned his friends, kūn-ilum and iddin-ištar, and the result was: the man is reliable and has a (good) record."
kišib lu-zi-na kišib a-šur-du₁₀ ša hu-bu-ul a-šur-ba-ni dumu sú-ku-ku,"seal of luzina, seal of aššur-ṭāb, of the debt of aššur-bāni, son of sukkuku."
itu.kam áb-ša-ra-ni li-mu-um ip-hu-ru-um,"month v, eponymy of iphurum."
a-na lugal-sú-en₆ qí-bi₄-ma um-ma a-šùr-gal-ma túg pá-ra-kà-nu-kà ú ší-tí ì.giš a-na-kam a-dí-in i-ba-ší-ú ša ki-ma ša-zu-za-tí-kà,4 minas 3.8333 shekels of refined silver idnāya owes to elamma.
a-hi a-ta té-er-ta-kà a-ni-tum lá a-ni-tum li-li-kam kù.babbar 1 gín lá a-kà-al,"in the presence of ilabrat-bāni, of ibni-ilī."
igi tù-ur-a-a igi lá-qé-ep,"witnessed by turaya, by lā-qēp."
0.3333 ma-na ṣa-ru-pá-am i-ṣé-er a-šùr-ma-lik dumu ta-ha-zi-ra du₁₀-ṣí-lá-a-šùr dumu lu-lu i-šu,aššur-malik son of tahazira owes 0.3333 mina of refined (silver) to ṭāb-ṣill-aššur son of lulu.
ṣí-ib-tám ú-ṣa-áb itu.kam té-i-na-tim li-mu-um da-né-a,"month te'inātum, eponymy dan-ea son of abu-waqar."
dumu a-bu-qar me-eh-ra-at ta-ah-sí-is-tim a-ni-tim ša ší-be-e-kà igi a-šur-i-mì-tí dumu a-mur-a-šùr igi a-šùr-mu-ta-bi₄-il₅ dumu en-um-a-šùr igi ma-num-ba-lúm-a-šùr dumu,"a copy of this note with your witnesses: witnessed by aššur-imittī son of amur-aššur, by aššur-muttabbil son of ennam-aššur, by mannum-balum-aššur son of ikūnum."
i-ku-nim a-na a-šùr-mu-ta-bi-il₅ qí-bi-ma šu-ma kù.babbar lá iš-ta-qal na-áš-pè-ra-tim ta-ga-<gap>-tí,"to aššur-muttabbil: if he has not paid the silver, then you must <gap> the missives."
il₅-qé ší-tù-um iš-tí-šu-nu i-ba-ší,the remainder is with them.
6 ma-na urudu ší-im ep-ri a-na ú-zu-a e-zi-ib,"i left 6 minas of copper, the price of rations, with uzuwa."
a-na a-dí-da ú a-lá-hi-im qí-bi-ma um-ma sig₅-pì-a-šur-ma i-na {d}utu-ši a-ba-a,to adida and ali-ahum from damiq-pī-aššur: the day abaya arrives you must not let my donkeys and servants rest - send them!
e-ra-ba-ni anše-ri ú ṣú-ha-ru lá,"let the silver, the price of 1 textile and the copper stay."
i-bi-tù ṭur₄-da-ni-šu-nu kù.babbar ší-im 1 ṣú-ba-tim,sell a couple of textiles and send me 1.5 mina with abaya for me to dispose over.
ú urudu li-ib-ší,it is on the narrow track that i have left.
ṣú-ba-tám iš-tí-in ú ší-na dí-na-ma 1.5,"my dear lords, as to the silver that i to ṭāb-ṣill-aššur, pay when pn arrives."
ma-na <gap> šu tí pá-ni-ú-tim lá ta-dí-na ú-lá an.na,"if you have not sold the former textiles, either the tin <gap> for my expenses for the narrow track <gap>"
5 ma-na urudu a-na lu-lu mì-ma a-nim,all this aššur-šamšī paid for the debt of aššur-ṭāb.
i-dí-a-bi₄-im ù šu-ut ú-ku-ul-tám ša iš-tù ha-hi-im a-dí kà-ni-iš <gap> igi a-šur-utu-ši,he also (owes for) the food for a trip from hahhum to kanesh. <gap>witnessed by aššur-šamšī.
i-ṣé-er a-lá-hi-im ša <gap> i-ri-šum i-šu igi ga-<gap> igi am-ri-a igi a-ta-<gap> iš-tù ha-muš-tim ša,"witnessed by ga<gap>, by amriya, by ata<gap> reckoned from the week of babilum and narām-sīn."
i-ṣé-er puzur₄.ištar dumu šu-a-nim i-ri-šum,"witnessed by mušueni, by ataya."
i-šu igi mu-šu-e-ni igi a-ta-a iš-tù ha-muš-tim ša a-šùr-i-mì-tí,reckoned from the week of aššur-imittī and amur-ištar.
ù a-mur-ištar 15 gín kù.babbar i-ṣé-er zu-ba,zuba owes 15 shekels of silver to irišum.
e-ri-šum i-šu igi ri-ma-ší dumu šu-ku-bi-im igi dingir-<gap> ku lá ni dumu a-šùr-<gap> itu.kam <gap> li-mu-um <gap> 13 <gap> 8 gín,"witnessed by rimaši(?) son of šu-kūbum, by <gap> son of aššur-<gap> 8 shekels of silver <gap> witnessed by šu-nūnu, by šu-kūbum."
kù.babbar igi šu-nu-nu igi ba-ba-li,abu-šalim owes <gap> to irišum.
<gap> i-ṣé-er a-bu-ša-lim dumu <gap> i-ri-šum i-šu itu.kam qá-ra-a-tim <gap> bu-za-<gap> igi šu-nu-nu dumu a-<gap> igi zi-<gap> dumu a-šùr-ni-šu,"month qarra'ātum, eponymy <gap> witnessed by šu-nūnu son of a<gap>, by zi<gap> son of aššur-nīšu."
a-na e-lá-ma qí-bi-ma um-ma a-hu-wa-qar a-dí ṭup-pí-im ša ta-áš-pu-ra-ni um-ma a-ta-ma kišib a-lá-hi-im a-na e-lá-ma lá-pí-it ṭup-pu-um i li-bi₄ ṭup-pé-kà i-ba-ší ha-na-a ù id-na-a ik-nu-ku-šu šu-ma,"say to elamma, thus ahu-waqar: as for the tablet about which you wrote me as follows: ""'seal of ali-ahum, to elamma' is written (on it)"", that tablet is to be found among your tablets, hanāya and idnāya have sealed it."
10 ma-na kù.babbar ṣa-ru-pá-am ma-áš-kà-tám i-ṣé-er a-sà-nim <gap> ṣú-ha-ri-šu ú ku-li-a dumu a-lá-bi-im,"10 minas of refined silver, on which a claim rests, is owed by asanum, his servant, to kuliya son of ali-abum."
i-šu-ú a-na ša-na-at kù.babbar,he will pay the silver in one year.
a-na i-dí-ku-bi-im a-na-ah-ì-lí ú puzur₄-a-šùr a-na a-na-ah-ì-lí qí-bi-ma um-ma ku-li-a-ma 1.3333 ma-na,"to iddin-kūbum, anah-ilī, and puzur-aššur, especially to anah-ilī, thus says kuliya: 'you owe to abu-šalim, son of ennam-suen, 1.3333 mina of silver plus its accumulated interest."
ú ṣí-ba-tí-šu kù.babbar a-na a-bu-ša-lim dumu en-na-sú-in,a letter of aššur-ṭāb arrived here and for an amount of 1 mina of silver your affair has been settled.
ha-bu-lá-tí-ma na-áš-pé-er-tum ša,i myself have guaranteed that amount of silver.
a-šùr-du₁₀ i-li-kam-ma a-na 1 ma-na,"moreover, you have 0.3333 mina of silver to our father in the gate of the god."
1 ma-na kù.babbar tù-kà-a-al ú ša-ni-tám ša,"please, my brother, put 1.3333 mina of silver under seal and entrust it to puzur-aššur to bring it here."
ku-nu-uk a-šùr-du₁₀ li-qí-a-am ṭup-pá-am ša ku-nu-uk a-šùr-du₁₀ al-qé-a-ku,"and then they should release to me the two letters of mine with my seal, which you have in possession, to cancel them."
ša a-bu-šu ú šu-ut a-na,"my dear brother, it is now two years that you keep this silver at your disposal."
ša ku-nu-uk a-šùr-du₁₀ ú ṭup-pá-am,realize what my favors to you mean!
an.na a-na e-ba-ar ša-la-ah-šu-wa lá,one must not ship the tin on via šalahšuwa.
lu-šé-tí-qú šu-ma ša ku-bu-ur-na-at a-ma-kam wa-áš-bu an.na li-ší-ib-ma ri-ik-sé a-na <gap>-a-<gap> i-na li-bi₄ ša-áp-tim ù maš-ke ší ta-kà-na-ma lu-šé-tí-qú,if people from kuburnat are staying there let the tin be ? and put small packets for / as <gap> here and there inside the wool and the hides and so ship them on.
<gap> a-na kù.babbar a-na <gap>,"sell it? for silver to <gap>."""""
ší-im 1 udu ha-bu-lu iš-ni-am ip-qí-dam-ma a-dí-ni ú-lá al-qé kù.babbar,"he entrusted it (for shipment) to me for the second time, but i have not yet obtained it."
ša sà-li-bu ha-bu-lu-ni a-dí-ni ú-lá ni-im-hu-ur,the silver that salibu owes we have not yet received.
iš-tù 4 ša-na-té-e a-dí-na-ku um-ma a-ta-ma a-hi-i i-na ma-a-ma a-ma-ha-ar-ma kù.babbar 3 ma-na,"you (then) said: 'i will turn to my brother in mamma who is carrying 3 minas of silver, and i will send you your silver."
a ni-na-ša ú-šé-ba-lá-ku ú ma-a iš-tù 4 ša-na-té-e kù.babbar-áp a-šur ta-ma-kà-ar ú a-dí u₄-mì-im a-nim,"now, realize well that since four years you use the silver of assur for trading purposes and that you have kept me waiting until this very day!"
ta-dí-in-ma a-na u₄-mì-im wa-ar-ke-e li-ba-kà i-ma-ra-iṣ a-na,don't fail to give that silver lest you will regret it afterwards!
a-wa-tí ša ta-at-wu-ú ú a-na-ku a-wa-at ša a-hi eb-ri,"as for the words you spoke, i too can listen to the words of colleagues and friends."
a-ma-kam i-na be-el id-ma-tim ša ki-ma um-mì-a-né ma-ma-an,over there no one of the share-holders representing the investors shall approach anything.
mì-ma ú-lá i-ṭá-hi a ma-lá ṭup-pì-im ša a-lim{ki} i-ša-ri-iq-šu-um,"according to the tablet of the city, (if he does) it will be considered as stolen by him."
šu-ma kur-ub-sú-in a-na a-al-du₁₀ i-tù-wa-ar pì-lá-ah-ištar ú-ba-áb-šu kù.babbar,"if kurub-suen raises a claim (for it) for against al-ṭāb, pilah-ištar will clear him."
i-na li-mì-im šu-da-a <gap> itu.kam ku-zal-li il₅-qé,"he collected the silver during the eponymy of šudaya, in the month xi."
igi {d}iškur.illat igi ir-am-a-šùr dumu ì-dí-ba-ni,"witnessed by adad-ellat, by ir'am-aššur, son of idi-bāni."
um-ma e-na-ah-dingir-ma a-na a-lá-hi-im,from enah-ilī to ali-ahum: urgent!
qí-bi-ma a-pu-tum i-na ša-am-ší ṭup-pá-am ta-ša-me-ú,the very day you hear the letter you must set out and come.
tí-ib-a-ma a-tal-kam a-na ša-lim-a-šùr a-bi-ku-nu iš-tí <gap>-tim <gap> i-ba-ší-ú <gap> urudu sig₅ ša qá-sú iš-<gap> a-na ni-bi-it urudu sig₅ igi ší-bi ta-ah-sí-is-ta-kà i-dí-ma,"to your (plur.) father šalim-aššur <gap> what is present <gap> copper of good quality that he has personally <gap> deposit a memorandum before witnesses with specifications of the good copper, and set out and come here."
tí-ib-a-ma a-tal-kam ù a-na-kam iš-tí,"also, i shall clear you here with the investors."
um-me-a-ni lu-za-ki-ku-nu i-na ba-ri-ku-nu lá tù-uš-té-ṣa-a-ma um-me-a-nu lá kà-<gap> a-we-lá-tù-ku-nu <gap> lá i-ha-li-qá <gap> ta-ša-lá-ta <gap>,"you must not quarrel with each other <gap>, and the investors should not <gap> your women <gap>should not be lost <gap> you (plur.) must (not) act rashly <gap>"
en-nam-a-šur dumu um-ma-sá a-šur-dùl dumu a-šùr-ša-dí-li ki-ma ku-li-a dumu,"aššur-ṣulūlī, son of aššur-šād-ilī representing kuliya, son of ali-abum, seized us against aššur-emūqī, son of šu-rama, and aššur-ṣulūlī said as follows: the silver of bēlum-bāni, the agent of kuliya, did you take it, yes or no?"
kù.babbar-áp be-lúm-ba-ni,"aššur-lamassī, son of itūr-anum, was my companion."
dam.gàr-ri-im ša,"seal of aššur-lamassī, son of itūr-anum."
um-ma a-šur-e-mu-qí-ma,deny or confirm it before these (witnesses)!
a-wa-tim a-ni-a-tim,"ennum-aššur, son of ummassa, was my companion."
dumu a-šur-ša-dí-li ša,"but, wherever silver of bēlum-bāni is available, you shall take nothing!"
ki-ma ku-li-a dumu a-lá-bi₄-im a-na a-šùr-e-mu-qí dumu šu-ra-ma,"if you have made an agreement with bēlum-bāni's creditor(s) and have taken silver, or have taken anything wherever silver of bēlum-bāni is available, you shall pay all the silver he owes to kuliya."
ma-la lu-qú-tum a-na a-šùr-be-el-a-wa-tim i-pí-iq-du-ma ša-lim-a-šùr ú-šé-ṣí-ú šu-ma a-na šu-ku-bi-im ma-ma-an i-tù-a-ar ša-lim-a-šùr ú-ba-áb-šu igi a-šùr-ma-lik,"with regard to what goods had been entrusted to aššur-bēl-awātim and which šalim-aššur had taken out, if anyone raises claim against šu-kūbum, šalim-aššur will clear him."
dumu a-lá-hi-im igi a-šùr-i-mì-tí dumu i-ku-pí-ištar igi en-na-sú-in dumu šu-ištar,"witnessed by aššur-malik son of ali-ahum, by aššur-imittī son of ikūn-pī-ištar, by enna-suen son of šu-ištar."
i-ša-qal igi puzur₄-a-šur,witnessed by puzur-aššur.
a-na ša-lim-a-šur qí-bi-ma um-ma ša-lim-a-šur-ma a-šu-mì ili₅-ba-ni dumu i-a-a,to šalim-aššur from šalim-aššur: i sent you word twice about ilī-bāni son of yaya.
a-dí ší-ni-šu tí-ir-tí i-li-kà-ku-um ki-ma lá-am-ni-iš e-ta-na-pu-šu iš-tù na-ah-ri-a tí-i-ir-tí a-šur-ma-lik,since he keeps behaving in an evil manner a message from aššur-malik son of šu-ištar came from nahriya.
šu-ut a-na a-šur-ma-lik im-nu-šu-nu 1 e-li-tám a-šur-ma-lik i-na,aššur-malik left one top-pack before his departure and ilī-bāni took that.
pá-ni wa-ṣa-i-šu e-zi-ma ili₅-ba-ni il₅-qé-ší,he shall not attack the servant for anything.
i-ṣé-er ṣú-ha-ri-im lá i-ma-qú-ut,you are planning to go to the city.
a-na a-lim{ki} pá-nu-kà šu-ma li-ba-kà am-ma-kam lá i-za-ku-ru <gap>,"if you please, they should not formally state (it) there (<gap>) they should come."
e-na-ah-dingir be-lá-num ah-ša-lim ù lá-qé-pu-um i mì-ig-ra-tí-šu-nu iṣ-bu-tù-ni-a-tí i-na,"enah-ilī, bēlānum, ah-šalim and lā-qēp seized us by joint agreement."
u₄-mì-im ša e-na-ah-dingir be-lá-num ù ah-ša-lim kù.babbar ša ik-ri-be ša ma-za-zi-im ša šu-a-šur qá-sú-nu ma-lá i-ša-qú-lu-ni ù lá-qé-pu-um,"on the day when enah-ilī, bēlānum and ah-šalim pay their shares of the silver of šu-aššur's pledge, then lā-qēp must also pay his share."
qá-sú i-ša-qal igi puzur₄-a-na igi a-lá-hi-im,"witnessed by puzur-anna, by ali-ahum."
<gap> a-na ma-lá dí-in a-lim{ki} lu ni-ta-la-ak-ma <gap> qí-bi-ma a-hi a-ta <gap> i-na,<gap> let us go in accordance with the verdict of the city <gap> say.
{d}utu-ši ṭup-pí ta-ša-me-ú tí-ib-a-ma a-tal-kam <gap> lá a-kà-ṣa-ad a-na ša ki-ma i-a-tí qí-bi-ma,"my dear brother, the very day you hear my letter set out and leave."
<gap> iš-tí a-ba-ba,i shall not seize.
a-ma-at-kà té-pu-uš a-ṣé-er ra-ga-at-ni ù hu-bu-lá-am a-na na-ša-a té-pá-áš 10 ma-na 10 gín kù.babbar šé-bu-lá-tim,"she is not only wicked, but is also contracting a debt for her <gap> i have sent her consignments of silver amounting to 10 minas and 10 shekels!"
uš-té-bi₄-lá-ší-im a-ma-kam a-ta ù-la,"over there, you are not even looking!"
ta-na-ṭá-al a-ma i-a-tí-i ta-ṭá-ba-am,is it really to me that you are being nice?
a-am-tám ha-li-iq a-na ta-al-ha-tim dí-i-ší a-na dumu a-šùr lá ta-dá-ší,"get rid of the maid, sell her to a man from talhat, do not sell her to an assyrian!"""""
na-áš-a-ku-um na-áš-pè-ra-tum ša a-lim{ki} ša a-ṣé-ri-kà ub-lu-ni-ku-ni a-hi a-ta a ba-tí-qí-im pá-ni-im <gap> ub-lu,"the missives from thecity that they brought to you, my dear brother, to the first express caravan <gap>"
igi en-um-a-šùr dumu sú-in-na-da igi a-šùr-i-mì-tí igi iš-me-dingir igi en-na-sú-in igi i-<gap>-ni igi a-lá+lá-<gap> a-hi-šu igi e-lá-lí dumu i-pí-li-is,"witnessed by ennam-aššur son of suen-nādā, by aššur-imittī, by išme-ilum, by enna-suen, by i<gap>, by alā<gap> his brother, by elāli son of ippilis."
iš-tí ší-ip-ri-ku-nu a-na da-me-e ša a-hi-a,i left with your envoys to sue for blood-money for my brother.
šé-a-im a-ta-lá-ak iš-tí ru-ba-im ta-am-ni-a-i-im ni-na-me-er-ma um-ma ší-ip-ru-ma a-hu-ni,we met with the king of tawniya and the envoys said: our brother has died in your territory.
i-na ep-ri-kà me-et né-nu,we and his brothers are your fathers.
áš-li-ma-ma um-ma a-na-ku-ma a-hi-i a šu-mì a-mu-tí-kà dí-ik kù.babbar ša šu-mì lá-qé-ep it-bu-lu,the silver that he took away in the name of lā-qēp - surely he was killed for the silver for the iron that you gave to him.
<gap> kù.babbar a-mu-tim sú-re-e ša ta-dí-nu-šu-ni dí-ik a-li-ik-ma da-me-e ša a-hi-a šé-e kà-ru-um,"go and sue for the blood-money for my brother."" the colony questioned him saying: ""the man was killed because of your iron."
iš-al-šu-ma um-ma kà-ru-ma a-wi-lúm a šu-mì a-mu-tí-kà dí-ik,"go and sue for the blood-money for the man."" he answered: ""i shall not go."
a-li-ik-ma da-me-e ša a-wi-lim,i have a tablet concerning the man's debt.
3 gín ša sà-e-tim 0.5 ma-na 1 gín be-ú-lá-at,we gave 0.5 mina 1 shekel as the working capital of hani to him.
ha-ni ni-dí-šum i-na be-ú-lá-at ha-ni ša a-na ba-al-ṭù-šar ta-dí-na-ni 10 gín kù.babbar bu-lá-tí-šu-ma ni-il₅-qé um-ma,of the working capital of hani that you gave to balṭu-šar we received 10 shekels of silver as his own assets.
3 gú 15 ma-na an.na ku-nu-ku 4 túg šu-ru-tum li-wi-tum 17 túg ku-ta-ni 17 ma-na,"2.5 textiles in the palace they took for sale, they will balance him? 1.5 shekel of silver."
18 ma-na an.na a-wi-it i-li-a iš-tù a-lim{ki} a-di kà-ni-iš{ki} 1 gú-tám 4,"the price of 2.5 tiles, 0.5 mina of silver, aššur-ṣulūlī gave to kūn-ilum."
ú-kúl-ti 2 anše-re ù sá-ri-dim ù,all this ku'uku brought to hinnāya.
hu-lu-qá-ú <gap> ik-šu-ud ší-im 2.5 túg ku-ta-ni,aššur-ṣulūlī represented to hinnāya.
a-na qá-tí en-um-a-šùr a-dí-in mì-ma a-nim ša in-na-a ù dam.gàr,all this - belonging to innaya and the merchant - ennam-aššur will lead.
en-um-a-šùr i-ra-dì igi ba-ba-li igi pí-lá-ah-ištar igi bi-ta-a,"witnessed by babali, by pilah-ištar, by bitaya."
il₅-qé igi i-lá-áš-ra-ni dumu sú-kà-li-a igi en-na-sú-in dumu i-dí-a-bi₄-im,"witnessed by ilī-ašrannī son of sukkalliya, by enna-suen son of iddin-abum."
ni-iš-qú-ul šu-ma um-me-a-nu a-bi-ni i-pá-lu-hu-ma ni-iš a-lim{ki} lá i-ta-mu-ú ma-lá a-wa-tim i-na pá-ni-tim ú-kà-i-lu,"if our father's inverstors are afraid and do not swear the oath by the city, then write the words i earlier suggested."
a-wa-tum lu-up-ta a-wa-tim ga-me-ra-ma ik-ri-bu-um i-na ba-ri-ku-nu li-qí-bi-ma i-na a-lá-ki-a a-na-ku ù,"conclude the case and let an oath be sworn among you, so i and ali-ahum may pay half the silver each."
a-lá-hu-um mu-ta-a kù.babbar lu ni-iš-qú-ul a-hu-a a-tù-nu a-na pá-ni-a tí-ir-ta-ku-nu iš-tí ṣú-ha-ri-a a-ni-tum,"my dear brothers, send me word with my servant whether it is one or the other, so i can make up my mind."
lá a-ni-tum li-li-kam-ma ṭé-mì-i lu ṣa-áb-ta-am a ba-ri-ku-nu i-na e-ra-bi₄-a,"between you, when i arrive and consider the case, it must not be overturned for me."
a-wa-tí i-na a-ma-ri-a e i-ba-al-ku-ta-a-nim šu-ma a-tù-nu a-na ta-<gap> ta-ša-hu-ṭá a-dí a-lá-ki-a i,if you yourselves fear <gap> then let it be said between you so as not to transgress until i arrive.
a-ṣé-er dumu.mí ku-ni-lim ú-ba-al,he has been paid his transport fee.
ša-du-a-sú ša-bu igi ip-pa-lu dumu a-mur-ištar igi a-šur-ma-lik dumu a-mu-ra igi a-šur-i-mì-tí dumu a-ni-nim,"in the presence of ippalu, son of amur-ištar, of aššur-mālik, son of amura, of aššur-imittī, son of anīnum."
dí-ší-im a-na-kam a-na a-wa-tim ša ki-ma um-me-a-ni-a i-ṣa-áb-tù-ni wa-ar-ki,the representatives of my investor have been seized here for a lawsuit.
